dias_reais,dias_estimados_antigo,dias_previstos_ia
6,20,9.275537539125214
25,32,22.31806433343453
17,30,13.624030308846216
7,12,6.080365034631395
14,20,12.85430531299118
4,22,10.630175581409343
14,29,14.154720674887976
21,28,20.53689287790775
2,9,3.0567999886084807
3,11,4.219769709503914
14,70,15.847240384067845
13,21,11.690789344715933
22,34,20.777692226941852
5,19,5.107148278224432
6,30,7.121029195123255
20,20,9.43000691720117
4,9,3.8570631053548574
21,32,11.63243675254296
21,40,21.808182172263226
5,19,8.617646323092439
10,19,11.163071912595331
26,24,18.32017913326371
11,30,9.18135015572782
9,22,11.888639502292978
9,29,14.13527109608138
6,11,6.097041187859742
12,24,21.16614395804623
16,22,15.311311978115958
10,17,11.29912514478459
8,28,11.467637788282337
6,27,11.188897415511153
13,40,17.182065084738987
7,20,10.625548799879637
6,25,11.145511931450848
16,21,13.525786093683092
7,23,12.88447095959596
6,20,8.928128440378433
2,10,3.2347860845295053
5,12,7.7724729243461015
21,30,16.409237871199025
37,38,27.727761206221057
7,31,13.255377138640336
6,19,9.007650859955534
5,21,7.30564581325306
8,8,11.837352646166996
5,14,5.589004562863806
3,12,3.5700152774055214
11,14,6.99752321052027
5,20,7.182789437286122
8,26,13.67723306183311
17,36,16.546335488627474
8,45,10.282585907164925
3,45,6.6224300584439835
54,31,36.76544740653569
5,17,11.59724693307721
9,37,11.00463708827191
14,23,14.187368892774959
13,21,11.605404536315218
9,30,12.231747355620705
4,9,4.772606174980292
28,26,15.899709262487013
4,13,5.192422782980069
15,21,14.188297351272656
7,25,7.244029475516654
8,33,13.712356132843063
9,13,6.682252120132297
13,27,12.492212964916476
16,23,13.077950799246837
16,29,15.29581572897537
12,28,9.441343570583715
12,19,14.31186477131175
10,22,11.307616065471436
6,24,8.788880356604404
14,23,12.62058596503775
27,32,21.14948009212662
48,62,11.648727605896585
18,33,19.714290666475495
6,20,8.084971857163463
8,24,9.450490474868069
32,32,9.926262937666676
5,24,11.636622874633881
3,21,4.520479246725536
30,39,18.613371907182252
11,18,12.626191666145319
4,18,4.880564055342146
7,32,17.182575757575755
11,22,12.699583556072925
14,31,14.860291000777448
4,12,4.791548787449762
7,24,11.240236775966373
5,15,7.6953179844950945
17,17,13.67267002655533
7,15,9.856624291156024
7,26,9.735568239547824
8,24,12.58477101879944
13,25,15.792899939242044
8,23,9.777024599067959
23,30,19.489040213763626
15,16,11.864077200577203
17,19,16.5775357817265
6,20,13.32980713459877
41,24,34.28
26,27,19.547245068042194
7,16,10.96063232614243
5,22,9.270775798737757
2,5,4.564460279615348
6,13,5.61385313697805
8,28,10.503747224708919
4,16,4.815362983900364
12,18,14.065690481729966
4,18,3.7121255928295085
10,30,8.755145829977302
3,20,8.686084647087778
14,40,16.502275569565732
14,23,11.040514085646556
30,28,19.692911511321544
8,19,12.681709942014614
13,22,13.47024847741011
12,24,9.459226719460753
11,29,9.478733523398086
10,23,10.520694224246519
8,19,11.082998991522816
5,28,7.022980651805955
3,16,3.6502278626583977
13,27,13.424879095622712
9,15,11.037251128358012
8,28,9.220419646335582
11,17,10.465890665359144
8,28,10.156303712609098
7,29,12.13512736977276
7,25,12.281914573016781
11,12,7.439139831877391
8,28,13.280493843401059
2,20,4.194461884601948
14,26,16.62862729109789
16,36,16.640759266876913
7,24,12.700873159324335
12,27,12.948987783203508
9,26,8.545736588982939
5,9,5.15948717948718
27,31,23.83563745938068
5,11,4.569510372960156
11,18,10.225508403989789
9,22,8.965547726333964
4,12,4.212501168839118
15,21,11.264636558841408
18,22,11.959119266352534
7,20,17.752673657740218
3,18,4.072760889466701
10,24,8.001339300699312
6,6,6.079255976256287
2,3,3.794530868775359
26,32,10.955612998940042
7,23,8.02992579111758
17,21,13.018239353239586
17,36,15.306854579973692
11,24,14.094476324659283
4,21,8.005209503902812
1,8,3.625461503651568
25,36,17.473745124844505
4,19,4.987488697335135
4,40,9.239383939774108
7,21,12.077945169775433
6,10,9.231004191348728
15,27,15.75750273863626
2,11,3.5363739498850215
20,28,16.485745627649877
7,45,10.778903556665917
6,20,7.601371687089642
14,33,16.450979208584844
11,25,14.1488317277446
10,32,8.02907621743632
26,54,20.076035804941323
7,14,5.771266724879357
13,30,10.158800280024742
7,26,12.020873944159735
10,25,10.231761102733623
2,16,4.026492437005949
51,22,25.494136891499533
4,19,7.084077219662601
8,14,9.450577995270384
7,19,7.0993664018355
18,29,16.91008194682938
10,23,14.270308058587746
3,24,4.041769464804315
12,28,13.322745022948657
48,43,29.462717359039868
2,7,3.646046938003796
12,33,13.507559768592044
11,24,14.884500800754283
1,2,1.7521189524147196
32,40,11.05433827625642
12,25,13.953023973156887
13,22,11.45509051556455
7,18,9.350576952683706
4,26,7.235214874999444
9,10,7.522123110452664
8,27,10.222911023012182
2,16,8.5802878715127
3,9,6.575523446094008
8,22,13.175513970543893
20,31,12.83865128420736
7,8,8.549059061230471
43,33,30.360920231723288
5,9,4.052974914978776
25,43,14.440280775112928
8,22,10.560929842300533
11,28,9.233491435109762
17,28,15.640809441692225
6,13,4.457928116431239
8,23,10.220094532711352
7,16,9.534048002937547
4,11,4.8066579587079925
8,23,13.797412929961068
